Source,CorrID,Target,InstID,Overallcount,Type,Label,Weight
"Rainer Maria Rilke","9531","Burgtheater","36247","81","Directed","Rainer Maria Rilke–Burgtheater","1"
"Rainer Maria Rilke","9531","Die Zeit. Wiener Wochenschrift [Redaktion]","29209","73","Directed","Rainer Maria Rilke–Die Zeit. Wiener Wochenschrift [Redaktion]","2"
"Rainer Maria Rilke","9531","Neues Wiener Tagblatt","29414","17","Directed","Rainer Maria Rilke–Neues Wiener Tagblatt","1"
"Rainer Maria Rilke","9531","Albert Langen","29654","8","Directed","Rainer Maria Rilke–Albert Langen","1"
"Rainer Maria Rilke","9531","Adolf Bonz & Comp.","29619","4","Directed","Rainer Maria Rilke–Adolf Bonz & Comp.","1"
"Emilie Mataja","4223","Deutsches Theater Berlin","35597","32","Directed","Emilie Mataja–Deutsches Theater Berlin","1"
"Theodor von Sosnosky","9941","S. Fischer Verlag","29639","85","Directed","Theodor von Sosnosky–S. Fischer Verlag","1"
"Theodor von Sosnosky","9941","Neues Wiener Tagblatt","29414","17","Directed","Theodor von Sosnosky–Neues Wiener Tagblatt","1"
"Theodor von Sosnosky","9941","Albert Langen","29654","8","Directed","Theodor von Sosnosky–Albert Langen","1"
"Theodor von Sosnosky","9941","J.G. Cotta’sche Buchhandlung Nachfolger","29215","7","Directed","Theodor von Sosnosky–J.G. Cotta’sche Buchhandlung Nachfolger","5"
"Theodor von Sosnosky","9941","[Ehrenrat der österreichisch-ungarischen Armee zur Veröffentlichung von Lieutenant Gustl, 1901]","334886","3","Directed","Theodor von Sosnosky–[Ehrenrat der österreichisch-ungarischen Armee zur Veröffentlichung von Lieutenant Gustl, 1901]","2"
"Theodor von Sosnosky","9941","Die Nation","29807","3","Directed","Theodor von Sosnosky–Die Nation","1"
"Theodor von Sosnosky","9941","Observer. Alexander Weigl’s Unternehmen für Zeitungssausschnitte","29796","3","Directed","Theodor von Sosnosky–Observer. Alexander Weigl’s Unternehmen für Zeitungssausschnitte","1"
"Marie Holzer","260732","Franz-Grillparzer-Preis","29677","16","Directed","Marie Holzer–Franz-Grillparzer-Preis","1"
"Gustav Schwarzkopf","12740","Neue Freie Presse","29351","113","Directed","Gustav Schwarzkopf–Neue Freie Presse","2"
"Gustav Schwarzkopf","12740","Burgtheater","36247","81","Directed","Gustav Schwarzkopf–Burgtheater","3"
"Gustav Schwarzkopf","12740","Die Zeit. Wiener Wochenschrift [Redaktion]","29209","73","Directed","Gustav Schwarzkopf–Die Zeit. Wiener Wochenschrift [Redaktion]","1"
"Gustav Schwarzkopf","12740","Deutsches Theater Berlin","35597","32","Directed","Gustav Schwarzkopf–Deutsches Theater Berlin","3"
"Gustav Schwarzkopf","12740","Lessing-Theater","35053","32","Directed","Gustav Schwarzkopf–Lessing-Theater","2"
"Gustav Schwarzkopf","12740","Volkstheater","36430","31","Directed","Gustav Schwarzkopf–Volkstheater","4"
"Gustav Schwarzkopf","12740","Wiener Schachclub","43143","14","Directed","Gustav Schwarzkopf–Wiener Schachclub","2"
"Gustav Schwarzkopf","12740","Deutsche Zeitung","29424","12","Directed","Gustav Schwarzkopf–Deutsche Zeitung","1"
"Gustav Schwarzkopf","12740","Raimund-Theater","39666","9","Directed","Gustav Schwarzkopf–Raimund-Theater","1"
"Gustav Schwarzkopf","12740","Südbahnstrecke","41943","8","Directed","Gustav Schwarzkopf–Südbahnstrecke","1"
"Gustav Schwarzkopf","12740","Théâtre de l’Œuvre","88605","6","Directed","Gustav Schwarzkopf–Théâtre de l’Œuvre","1"
"Gustav Schwarzkopf","12740","Norddeutscher Lloyd","53340","6","Directed","Gustav Schwarzkopf–Norddeutscher Lloyd","1"
"Gustav Schwarzkopf","12740","Hamburg-Amerika-Linie","51619","3","Directed","Gustav Schwarzkopf–Hamburg-Amerika-Linie","1"
"Gustav Schwarzkopf","12740","Observer. Alexander Weigl’s Unternehmen für Zeitungssausschnitte","29796","3","Directed","Gustav Schwarzkopf–Observer. Alexander Weigl’s Unternehmen für Zeitungssausschnitte","1"
"Berta Zuckerkandl","2312","S. Fischer Verlag","29639","85","Directed","Berta Zuckerkandl–S. Fischer Verlag","3"
"Berta Zuckerkandl","2312","Burgtheater","36247","81","Directed","Berta Zuckerkandl–Burgtheater","1"
"Berta Zuckerkandl","2312","Paul Zsolnay Verlag","36907","9","Directed","Berta Zuckerkandl–Paul Zsolnay Verlag","2"
"Berta Zuckerkandl","2312","Éditions Stock","29741","9","Directed","Berta Zuckerkandl–Éditions Stock","8"
"Berta Zuckerkandl","2312","Odéon","93494","6","Directed","Berta Zuckerkandl–Odéon","2"
"Berta Zuckerkandl","2312","Théâtre Libre","88609","6","Directed","Berta Zuckerkandl–Théâtre Libre","1"
"Berta Zuckerkandl","2312","Ernst Rowohlt Verlag","29756","4","Directed","Berta Zuckerkandl–Ernst Rowohlt Verlag","1"
"Berta Zuckerkandl","2312","Société des Auteurs et Compositeurs Dramatiques","29397","4","Directed","Berta Zuckerkandl–Société des Auteurs et Compositeurs Dramatiques","1"
"Berta Zuckerkandl","2312","Comédie-Française","87992","3","Directed","Berta Zuckerkandl–Comédie-Française","2"
"Berta Zuckerkandl","2312","Phaidon-Verlag","48752","3","Directed","Berta Zuckerkandl–Phaidon-Verlag","1"
"Romain Rolland","12543","Neue Zürcher Zeitung","29672","3","Directed","Romain Rolland–Neue Zürcher Zeitung","2"
"Karl Emil Franzos","7218","Adolf Bonz & Comp.","29619","4","Directed","Karl Emil Franzos–Adolf Bonz & Comp.","1"
"Theodor Herzl","11673","Neue Freie Presse","29351","113","Directed","Theodor Herzl–Neue Freie Presse","38"
"Theodor Herzl","11673","S. Fischer Verlag","29639","85","Directed","Theodor Herzl–S. Fischer Verlag","2"
"Theodor Herzl","11673","Burgtheater","36247","81","Directed","Theodor Herzl–Burgtheater","8"
"Theodor Herzl","11673","Deutsches Theater Berlin","35597","32","Directed","Theodor Herzl–Deutsches Theater Berlin","13"
"Theodor Herzl","11673","Lessing-Theater","35053","32","Directed","Theodor Herzl–Lessing-Theater","6"
"Theodor Herzl","11673","Volkstheater","36430","31","Directed","Theodor Herzl–Volkstheater","3"
"Theodor Herzl","11673","Wiener Allgemeine Zeitung","29670","25","Directed","Theodor Herzl–Wiener Allgemeine Zeitung","2"
"Theodor Herzl","11673","Concordia. Journalisten- und Schriftstellerverein","29752","10","Directed","Theodor Herzl–Concordia. Journalisten- und Schriftstellerverein","1"
"Theodor Herzl","11673","Raimund-Theater","39666","9","Directed","Theodor Herzl–Raimund-Theater","6"
"Theodor Herzl","11673","Berliner Theater","29380","7","Directed","Theodor Herzl–Berliner Theater","4"
"Theodor Herzl","11673","Freie Bühne","29561","6","Directed","Theodor Herzl–Freie Bühne","3"
"Theodor Herzl","11673","Carl-Theater","63031","3","Directed","Theodor Herzl–Carl-Theater","3"
"Stefan Zweig","13212","Neue Freie Presse","29351","113","Directed","Stefan Zweig–Neue Freie Presse","1"
"Stefan Zweig","13212","S. Fischer Verlag","29639","85","Directed","Stefan Zweig–S. Fischer Verlag","1"
"Stefan Zweig","13212","Burgtheater","36247","81","Directed","Stefan Zweig–Burgtheater","4"
"Stefan Zweig","13212","Franz-Grillparzer-Preis","29677","16","Directed","Stefan Zweig–Franz-Grillparzer-Preis","1"
"Stefan Zweig","13212","Éditions Stock","29741","9","Directed","Stefan Zweig–Éditions Stock","1"
"Stefan Zweig","13212","Odéon","93494","6","Directed","Stefan Zweig–Odéon","1"
"Stefan Zweig","13212","Kriegsarchiv","293828","5","Directed","Stefan Zweig–Kriegsarchiv","5"
"Stefan Zweig","13212","Antiquariat Emil Hirsch","293717","3","Directed","Stefan Zweig–Antiquariat Emil Hirsch","3"
"Stefan Zweig","13212","Mercure de France","34301","3","Directed","Stefan Zweig–Mercure de France","2"
"Stefan Zweig","13212","Observer. Alexander Weigl’s Unternehmen für Zeitungssausschnitte","29796","3","Directed","Stefan Zweig–Observer. Alexander Weigl’s Unternehmen für Zeitungssausschnitte","1"
"Elsa Plessner","2128","S. Fischer Verlag","29639","85","Directed","Elsa Plessner–S. Fischer Verlag","1"
"Elsa Plessner","2128","Die Zeit. Wiener Wochenschrift [Redaktion]","29209","73","Directed","Elsa Plessner–Die Zeit. Wiener Wochenschrift [Redaktion]","3"
"Elsa Plessner","2128","Deutsches Theater Berlin","35597","32","Directed","Elsa Plessner–Deutsches Theater Berlin","1"
"Elsa Plessner","2128","Volkstheater","36430","31","Directed","Elsa Plessner–Volkstheater","1"
"Elsa Plessner","2128","Albert Langen","29654","8","Directed","Elsa Plessner–Albert Langen","1"
"Marie Herzfeld","11666","Franz-Grillparzer-Preis","29677","16","Directed","Marie Herzfeld–Franz-Grillparzer-Preis","1"
"Marie Herzfeld","11666","Société des Auteurs et Compositeurs Dramatiques","29397","4","Directed","Marie Herzfeld–Société des Auteurs et Compositeurs Dramatiques","1"
"Auguste Hauschner","2524","Der Tag","29650","3","Directed","Auguste Hauschner–Der Tag","1"
"Ludwig Ganghofer","11402","Burgtheater","36247","81","Directed","Ludwig Ganghofer–Burgtheater","1"
"Robert Adam","12438","S. Fischer Verlag","29639","85","Directed","Robert Adam–S. Fischer Verlag","5"
"Robert Adam","12438","Burgtheater","36247","81","Directed","Robert Adam–Burgtheater","1"
"Robert Adam","12438","Nationaltheater München","44112","7","Directed","Robert Adam–Nationaltheater München","3"
"Robert Adam","12438","Nobelpreis","29679","6","Directed","Robert Adam–Nobelpreis","1"
"Robert Adam","12438","Ullstein Verlag","29681","5","Directed","Robert Adam–Ullstein Verlag","1"
"Robert Adam","12438","Der Merker","29560","4","Directed","Robert Adam–Der Merker","2"
"Robert Adam","12438","Genossenschaft dramatischer Autoren und Komponisten in Österreich","29275","4","Directed","Robert Adam–Genossenschaft dramatischer Autoren und Komponisten in Österreich","3"
"Robert Adam","12438","Bezirksgericht Wien Josefstadt","29605","3","Directed","Robert Adam–Bezirksgericht Wien Josefstadt","2"
"Peter Altenberg","2147","S. Fischer Verlag","29639","85","Directed","Peter Altenberg–S. Fischer Verlag","1"
"Hermann Bahr","10815","Neue Freie Presse","29351","113","Directed","Hermann Bahr–Neue Freie Presse","2"
"Hermann Bahr","10815","S. Fischer Verlag","29639","85","Directed","Hermann Bahr–S. Fischer Verlag","16"
"Hermann Bahr","10815","Burgtheater","36247","81","Directed","Hermann Bahr–Burgtheater","4"
"Hermann Bahr","10815","Die Zeit. Wiener Wochenschrift [Redaktion]","29209","73","Directed","Hermann Bahr–Die Zeit. Wiener Wochenschrift [Redaktion]","39"
"Hermann Bahr","10815","Lessing-Theater","35053","32","Directed","Hermann Bahr–Lessing-Theater","1"
"Hermann Bahr","10815","Volkstheater","36430","31","Directed","Hermann Bahr–Volkstheater","1"
"Hermann Bahr","10815","Neues Wiener Tagblatt","29414","17","Directed","Hermann Bahr–Neues Wiener Tagblatt","13"
"Hermann Bahr","10815","Franz-Grillparzer-Preis","29677","16","Directed","Hermann Bahr–Franz-Grillparzer-Preis","3"
"Hermann Bahr","10815","Wiener Verlag","29636","14","Directed","Hermann Bahr–Wiener Verlag","3"
"Hermann Bahr","10815","Berliner Tageblatt","29329","13","Directed","Hermann Bahr–Berliner Tageblatt","2"
"Hermann Bahr","10815","Deutsche Zeitung","29424","12","Directed","Hermann Bahr–Deutsche Zeitung","4"
"Hermann Bahr","10815","Jung-Wiener Theater zum Lieben Augustin","143199","11","Directed","Hermann Bahr–Jung-Wiener Theater zum Lieben Augustin","1"
"Hermann Bahr","10815","Concordia. Journalisten- und Schriftstellerverein","29752","10","Directed","Hermann Bahr–Concordia. Journalisten- und Schriftstellerverein","1"
"Hermann Bahr","10815","Vossische Zeitung","29331","9","Directed","Hermann Bahr–Vossische Zeitung","1"
"Hermann Bahr","10815","Südbahnstrecke","41943","8","Directed","Hermann Bahr–Südbahnstrecke","1"
"Hermann Bahr","10815","Nationaltheater München","44112","7","Directed","Hermann Bahr–Nationaltheater München","2"
"Hermann Bahr","10815","Berliner Börsen-Courier","29406","7","Directed","Hermann Bahr–Berliner Börsen-Courier","1"
"Hermann Bahr","10815","Bibliographisches Bureau","29716","6","Directed","Hermann Bahr–Bibliographisches Bureau","1"
"Hermann Bahr","10815","Freie Bühne","29561","6","Directed","Hermann Bahr–Freie Bühne","1"
"Hermann Bahr","10815","Berliner Neueste Nachrichten","29207","5","Directed","Hermann Bahr–Berliner Neueste Nachrichten","1"
"Hermann Bahr","10815","E. Pierson’s Verlag","29771","4","Directed","Hermann Bahr–E. Pierson’s Verlag","1"
"Hermann Bahr","10815","Ernst Rowohlt Verlag","29756","4","Directed","Hermann Bahr–Ernst Rowohlt Verlag","1"
"Hermann Bahr","10815","Bauernfeld-Preis","29675","4","Directed","Hermann Bahr–Bauernfeld-Preis","2"
"Richard Beer-Hofmann","10863","Frankfurter Zeitung","29442","187","Directed","Richard Beer-Hofmann–Frankfurter Zeitung","2"
"Richard Beer-Hofmann","10863","Neue Freie Presse","29351","113","Directed","Richard Beer-Hofmann–Neue Freie Presse","3"
"Richard Beer-Hofmann","10863","Burgtheater","36247","81","Directed","Richard Beer-Hofmann–Burgtheater","3"
"Richard Beer-Hofmann","10863","Die Zeit. Wiener Wochenschrift [Redaktion]","29209","73","Directed","Richard Beer-Hofmann–Die Zeit. Wiener Wochenschrift [Redaktion]","8"
"Richard Beer-Hofmann","10863","Lessing-Theater","35053","32","Directed","Richard Beer-Hofmann–Lessing-Theater","1"
"Richard Beer-Hofmann","10863","Volkstheater","36430","31","Directed","Richard Beer-Hofmann–Volkstheater","1"
"Richard Beer-Hofmann","10863","Wiener Allgemeine Zeitung","29670","25","Directed","Richard Beer-Hofmann–Wiener Allgemeine Zeitung","2"
"Richard Beer-Hofmann","10863","Franz-Grillparzer-Preis","29677","16","Directed","Richard Beer-Hofmann–Franz-Grillparzer-Preis","1"
"Richard Beer-Hofmann","10863","Wiener Schachclub","43143","14","Directed","Richard Beer-Hofmann–Wiener Schachclub","9"
"Richard Beer-Hofmann","10863","Wiener Verlag","29636","14","Directed","Richard Beer-Hofmann–Wiener Verlag","1"
"Richard Beer-Hofmann","10863","Jung-Wiener Theater zum Lieben Augustin","143199","11","Directed","Richard Beer-Hofmann–Jung-Wiener Theater zum Lieben Augustin","2"
"Richard Beer-Hofmann","10863","Paul Zsolnay Verlag","36907","9","Directed","Richard Beer-Hofmann–Paul Zsolnay Verlag","1"
"Richard Beer-Hofmann","10863","»Freie Bühne« Verein für moderne Literatur","29781","9","Directed","Richard Beer-Hofmann–»Freie Bühne« Verein für moderne Literatur","2"
"Richard Beer-Hofmann","10863","Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","29212","9","Directed","Richard Beer-Hofmann–Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","1"
"Richard Beer-Hofmann","10863","Südbahnstrecke","41943","8","Directed","Richard Beer-Hofmann–Südbahnstrecke","1"
"Richard Beer-Hofmann","10863","Berliner Börsen-Courier","29406","7","Directed","Richard Beer-Hofmann–Berliner Börsen-Courier","2"
"Richard Beer-Hofmann","10863","Norddeutscher Lloyd","53340","6","Directed","Richard Beer-Hofmann–Norddeutscher Lloyd","1"
"Richard Beer-Hofmann","10863","?? [Wiener Club September 1901]","169320","5","Directed","Richard Beer-Hofmann–?? [Wiener Club September 1901]","3"
"Richard Beer-Hofmann","10863","Accademia di belle arti di Venezia","44602","4","Directed","Richard Beer-Hofmann–Accademia di belle arti di Venezia","3"
"Richard Beer-Hofmann","10863","Freund & Jeckel","39772","4","Directed","Richard Beer-Hofmann–Freund & Jeckel","2"
"Richard Beer-Hofmann","10863","Hamburg-Amerika-Linie","51619","3","Directed","Richard Beer-Hofmann–Hamburg-Amerika-Linie","1"
"Richard Beer-Hofmann","10863","Westbahnstrecke","41229","3","Directed","Richard Beer-Hofmann–Westbahnstrecke","2"
"Richard Beer-Hofmann","10863","Éditions Perrin","40681","3","Directed","Richard Beer-Hofmann–Éditions Perrin","1"
"Richard Beer-Hofmann","10863","Wenzel Swatek","40036","3","Directed","Richard Beer-Hofmann–Wenzel Swatek","2"
"Richard Beer-Hofmann","10863","Akademischer Verein für Kunst und Literatur","29767","3","Directed","Richard Beer-Hofmann–Akademischer Verein für Kunst und Literatur","1"
"Franz Blei","10955","Neue Freie Presse","29351","113","Directed","Franz Blei–Neue Freie Presse","1"
"Franz Blei","10955","Hyperion","29552","6","Directed","Franz Blei–Hyperion","3"
"Franz Blei","10955","Die elf Scharfrichter","29779","3","Directed","Franz Blei–Die elf Scharfrichter","3"
"Oskar Blumenthal","14328","Lessing-Theater","35053","32","Directed","Oskar Blumenthal–Lessing-Theater","10"
"Oskar Blumenthal","14328","Internationale Ausstellung für Musik und Theaterwesen","45127","3","Directed","Oskar Blumenthal–Internationale Ausstellung für Musik und Theaterwesen","1"
"Georg Brandes","10992","Frankfurter Zeitung","29442","187","Directed","Georg Brandes–Frankfurter Zeitung","4"
"Georg Brandes","10992","Neue Freie Presse","29351","113","Directed","Georg Brandes–Neue Freie Presse","6"
"Georg Brandes","10992","Burgtheater","36247","81","Directed","Georg Brandes–Burgtheater","1"
"Georg Brandes","10992","Die Zeit. Wiener Wochenschrift [Redaktion]","29209","73","Directed","Georg Brandes–Die Zeit. Wiener Wochenschrift [Redaktion]","3"
"Georg Brandes","10992","Vossische Zeitung","29331","9","Directed","Georg Brandes–Vossische Zeitung","1"
"Georg Brandes","10992","J.G. Cotta’sche Buchhandlung Nachfolger","29215","7","Directed","Georg Brandes–J.G. Cotta’sche Buchhandlung Nachfolger","1"
"Georg Brandes","10992","Nobelpreis","29679","6","Directed","Georg Brandes–Nobelpreis","3"
"Georg Brandes","10992","Erich-Reiss-Verlag","65371","4","Directed","Georg Brandes–Erich-Reiss-Verlag","1"
"Georg Brandes","10992","Die Zukunft","29631","4","Directed","Georg Brandes–Die Zukunft","2"
"Georg Brandes","10992","Der Merker","29560","4","Directed","Georg Brandes–Der Merker","1"
"Georg Brandes","10992","Die Nation","29807","3","Directed","Georg Brandes–Die Nation","1"
"Georg Brandes","10992","Der Tag","29650","3","Directed","Georg Brandes–Der Tag","2"
"Felix Braun","11002","S. Fischer Verlag","29639","85","Directed","Felix Braun–S. Fischer Verlag","2"
"Felix Braun","11002","Georg Müller Verlag","29584","5","Directed","Felix Braun–Georg Müller Verlag","2"
"Max Eugen Burckhard","11036","S. Fischer Verlag","29639","85","Directed","Max Eugen Burckhard–S. Fischer Verlag","2"
"Max Eugen Burckhard","11036","Burgtheater","36247","81","Directed","Max Eugen Burckhard–Burgtheater","3"
"Max Eugen Burckhard","11036","Wiener Verlag","29636","14","Directed","Max Eugen Burckhard–Wiener Verlag","4"
"Max Eugen Burckhard","11036","J.G. Cotta’sche Buchhandlung Nachfolger","29215","7","Directed","Max Eugen Burckhard–J.G. Cotta’sche Buchhandlung Nachfolger","1"
"Wilhelm Bölsche","11061","S. Fischer Verlag","29639","85","Directed","Wilhelm Bölsche–S. Fischer Verlag","2"
"Wilhelm Bölsche","11061","Lessing-Theater","35053","32","Directed","Wilhelm Bölsche–Lessing-Theater","5"
"Wilhelm Bölsche","11061","Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","29212","9","Directed","Wilhelm Bölsche–Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","2"
"Michael Georg Conrad","11098","Nationaltheater München","44112","7","Directed","Michael Georg Conrad–Nationaltheater München","2"
"Jakob Julius David","2416","Wiener Verlag","29636","14","Directed","Jakob Julius David–Wiener Verlag","1"
"Richard Dehmel","11148","S. Fischer Verlag","29639","85","Directed","Richard Dehmel–S. Fischer Verlag","1"
"Richard Dehmel","11148","Freund & Jeckel","39772","4","Directed","Richard Dehmel–Freund & Jeckel","1"
"Albert Ehrenstein","11230","Neue Freie Presse","29351","113","Directed","Albert Ehrenstein–Neue Freie Presse","6"
"Albert Ehrenstein","11230","S. Fischer Verlag","29639","85","Directed","Albert Ehrenstein–S. Fischer Verlag","1"
"Albert Ehrenstein","11230","Volkstheater","36430","31","Directed","Albert Ehrenstein–Volkstheater","1"
