year,"von Schnitzler","Umfeld von Schnitzler", "an Schnitzler", "Umfeld an Schnitzler"
1885,0,0,0,0
1886,0,0,0,0
1887,0,0,0,0
1888,0,0,0,0
1889,0,0,0,0
1890,0,0,0,0
1891,4307,47,6647,603
1892,10588,0,13927,0
1893,9584,0,13012,0
1894,2905,0,2133,850
1895,12486,0,6742,315
1896,7795,0,11836,0
1897,16805,0,14474,230
1898,13522,0,14484,490
1899,9831,0,15021,0
1900,9210,0,8909,134
1901,3163,98,6451,0
1902,6579,0,11604,0
1903,9617,0,12971,0
1904,17885,0,17653,666
1905,4231,112,4545,0
1906,7341,0,5617,0
1907,2493,400,8632,608
1908,4518,0,11756,0
1909,816,0,5810,0
1910,7446,0,12154,0
1911,826,0,4579,0
1912,1296,0,8042,0
1913,0,0,2182,0
1914,1968,0,5642,0
1915,0,0,1681,0
1916,1782,0,1369,0
1917,764,0,2238,548
1918,0,0,2057,0
1919,3118,0,6388,0
1920,0,0,5623,0
1921,0,0,1377,0
1922,0,0,1382,288
1923,2920,0,1775,0
1924,1372,0,1801,0
1925,3484,0,1860,646
1926,1277,0,1912,0
1927,603,0,1755,0
1928,2869,240,4190,0
1929,343,1396,2084,5244
1930,0,0,0,2040
1931,0,291,0,2972
