Source,CorrID,Target,EventID,Overallcount,Type,Label,Weight
"Richard Beer-Hofmann","10863","Aufführung von Liebelei, 25.11.1899","43248","3","Directed","Richard Beer-Hofmann–Aufführung von Liebelei, 25.11.1899","3"
"Richard Beer-Hofmann","10863","Aufführung von Bruder Martin, 29.1.1895","364929","2","Directed","Richard Beer-Hofmann–Aufführung von Bruder Martin, 29.1.1895","2"
"Richard Beer-Hofmann","10863","Private Lesung von Das Vermächtnis, 28.12.1897","142802","2","Directed","Richard Beer-Hofmann–Private Lesung von Das Vermächtnis, 28.12.1897","2"
"Richard Beer-Hofmann","10863","Private Lesung von Reigen, 17.3.1897","142793","3","Directed","Richard Beer-Hofmann–Private Lesung von Reigen, 17.3.1897","2"
"Richard Beer-Hofmann","10863","Aufführung von Schmetterlingsschlacht, 17.10.1894","94322","2","Directed","Richard Beer-Hofmann–Aufführung von Schmetterlingsschlacht, 17.10.1894","2"
"Richard Beer-Hofmann","10863","Private Lesung von Pauline, 19.12.1898","48949","3","Directed","Richard Beer-Hofmann–Private Lesung von Pauline, 19.12.1898","2"
"Richard Beer-Hofmann","10863","Private Lesung von Die Frau im Fenster, Der weiße Fächer, Die Hochzeit der Sobeide, 28.10.1897","48883","2","Directed","Richard Beer-Hofmann–Private Lesung von Die Frau im Fenster, Der weiße Fächer, Die Hochzeit der Sobeide, 28.10.1897","2"
"Richard Beer-Hofmann","10863","Leseprobe von Liebelei, 18.9.1895","48866","3","Directed","Richard Beer-Hofmann–Leseprobe von Liebelei, 18.9.1895","2"
"Richard Beer-Hofmann","10863","Aufführung von Gläubiger, Mondscheinsonate, 25.12.1899","43159","2","Directed","Richard Beer-Hofmann–Aufführung von Gläubiger, Mondscheinsonate, 25.12.1899","2"
"Richard Beer-Hofmann","10863","Aufführung Die Braut von Messina, 26.2.1898","42807","2","Directed","Richard Beer-Hofmann–Aufführung Die Braut von Messina, 26.2.1898","2"
"Richard Beer-Hofmann","10863","Premiere von Die Komödianten, 20.10.1894","42170","2","Directed","Richard Beer-Hofmann–Premiere von Die Komödianten, 20.10.1894","2"
"Richard Beer-Hofmann","10863","Uraufführung von Sein Sohn, 16.10.1896","42011","3","Directed","Richard Beer-Hofmann–Uraufführung von Sein Sohn, 16.10.1896","2"
"Richard Beer-Hofmann","10863","Uraufführung von Zwischenspiel, 12.10.1905","35173","7","Directed","Richard Beer-Hofmann–Uraufführung von Zwischenspiel, 12.10.1905","2"
