Source,SourceID,Lat-Long-Sender,Target,TargetID,Lat-Long-Receiver,Type,Label,Weight
"Wien","50","48,208333 16,373056","II., Leopoldstadt","52","48,21667 16,4","Directed","Wien–II., Leopoldstadt","1"
"II., Leopoldstadt","52","48,21667 16,4","I., Innere Stadt","51","48,20769 16,37049","Directed","II., Leopoldstadt–I., Innere Stadt","1"
"I., Innere Stadt","51","48,20769 16,37049","Wollzeile 15 (»Berthahof«)","190427","48,208656 16,375924","Directed","I., Innere Stadt–Wollzeile 15 (»Berthahof«)","97"
"Kopenhagen","36300","55,67594 12,56553","Bad Ischl","213","47,71109 13,61893","Directed","Kopenhagen–Bad Ischl","2"
"Berlin","168","52,52437 13,41053","Berlin","168","52,52437 13,41053","Directed","Berlin–Berlin","49"
"Wien","50","48,208333 16,373056","Wien","50","48,208333 16,373056","Directed","Wien–Wien","1262"
"Wien","50","48,208333 16,373056","Österreichischer Hof","230","47,802045 13,043401","Directed","Wien–Österreichischer Hof","1"
"Kopenhagen","36300","55,67594 12,56553","Wien","50","48,208333 16,373056","Directed","Kopenhagen–Wien","20"
"Brünn","833","49,19522 16,60796","Brünn","833","49,19522 16,60796","Directed","Brünn–Brünn","2"
"Brünn","833","49,19522 16,60796","Tiefer Graben 17","207301","48,212284 16,367725","Directed","Brünn–Tiefer Graben 17","1"
"Hofmannsthal-Schlössl","40297","48,133611 16,255556","Rodaun","173","48,132793312328 16,256152195922","Directed","Hofmannsthal-Schlössl–Rodaun","4"
"Rodaun","173","48,132793312328 16,256152195922","9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Directed","Rodaun–9/3 Post- und Telegraphenamt 72","6"
"9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Frankgasse 1","168934","48,21533 16,35736","Directed","9/3 Post- und Telegraphenamt 72–Frankgasse 1","80"
"St. Anton am Arlberg","212","47,1275 10,26372","Kopenhagen","36300","55,67594 12,56553","Directed","St. Anton am Arlberg–Kopenhagen","1"
"Wildbad Waldbrunn","723","46,751211 12,101269","Welsberg-Taisten","428","46,75774 12,10556","Directed","Wildbad Waldbrunn–Welsberg-Taisten","4"
"Welsberg-Taisten","428","46,75774 12,10556","Pörtschach am Wörthersee","44278","46,635556 14,1425","Directed","Welsberg-Taisten–Pörtschach am Wörthersee","1"
"Pörtschach am Wörthersee","44278","46,635556 14,1425","Villa Arnstein","1110","47,0277 14,4641","Directed","Pörtschach am Wörthersee–Villa Arnstein","11"
"Paris","182","48,85341 2,3488","Wien","50","48,208333 16,373056","Directed","Paris–Wien","187"
"Lido","259","45,38333 12,35","Lido","259","45,38333 12,35","Directed","Lido–Lido","2"
"Lido","259","45,38333 12,35","Edmund-Weiß-Gasse 7","168940","48,2304 16,33472","Directed","Lido–Edmund-Weiß-Gasse 7","3"
"Celerina","12589","46,5146 9,8622","Celerina","12589","46,5146 9,8622","Directed","Celerina–Celerina","3"
"Celerina","12589","46,5146 9,8622","Tiefer Graben 17","207301","48,212284 16,367725","Directed","Celerina–Tiefer Graben 17","4"
"St. Gilgen","33","47,76667 13,36667","Villa Frühling","47674","nicht vorhanden","Directed","St. Gilgen–Villa Frühling","3"
"Paris","182","48,85341 2,3488","Paris","182","48,85341 2,3488","Directed","Paris–Paris","4"
"Padua","44156","45,40797 11,88586","Willergasse 2","231810","48,139276 16,257741","Directed","Padua–Willergasse 2","1"
"Rodaun","173","48,132793312328 16,256152195922","Wien","50","48,208333 16,373056","Directed","Rodaun–Wien","48"
"Kochgasse 8","249577","48,212327 16,349717","VII., Neubau","57","48,2 16,35","Directed","Kochgasse 8–VII., Neubau","1"
"VII., Neubau","57","48,2 16,35","Sternwartestraße 71","168815","48,23188 16,33716","Directed","VII., Neubau–Sternwartestraße 71","1"
"Nürnberg","44172","49,45421 11,07752","Nürnberg","44172","49,45421 11,07752","Directed","Nürnberg–Nürnberg","4"
"Nürnberg","44172","49,45421 11,07752","Vahrn","946","46,73901 11,63749","Directed","Nürnberg–Vahrn","2"
"Prievoz","148300","48,146297222222 17,167102777778","Wien","50","48,208333 16,373056","Directed","Prievoz–Wien","1"
"Frankfurt am Main","146","50,11552 8,68417","Wien","50","48,208333 16,373056","Directed","Frankfurt am Main–Wien","49"
"Wien","50","48,208333 16,373056","Salzburg","30","47,80067 13,04532","Directed","Wien–Salzburg","23"
"Frankgasse 1","168934","48,21533 16,35736","9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Directed","Frankgasse 1–9/3 Post- und Telegraphenamt 72","43"
"9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Baden bei Wien","662","48,00543 16,23264","Directed","9/3 Post- und Telegraphenamt 72–Baden bei Wien","1"
"Baden bei Wien","662","48,00543 16,23264","Kaiser-Franz-Ring 54","365095","48,010891 16,242066","Directed","Baden bei Wien–Kaiser-Franz-Ring 54","3"
"Wien","50","48,208333 16,373056","Poschingerstraße","1213","48,15353 11,6038","Directed","Wien–Poschingerstraße","2"
"9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Bad Ischl","213","47,71109 13,61893","Directed","9/3 Post- und Telegraphenamt 72–Bad Ischl","7"
"Bad Ischl","213","47,71109 13,61893","Eglmoosgasse 22","364910","47,712155 13,616607","Directed","Bad Ischl–Eglmoosgasse 22","14"
"Wien","50","48,208333 16,373056","München","45258","48,13743 11,57549","Directed","Wien–München","13"
"Velden am Wörthersee","909","46,61901 14,03129","Marienbad","772","49,964444 12,701944","Directed","Velden am Wörthersee–Marienbad","2"
"Le Mont-Saint-Michel","134981","48,635833 -1,510556","Hotel und Pension Rudolfshöhe (Leopold Petter)","414","47,706537 13,609575","Directed","Le Mont-Saint-Michel–Hotel und Pension Rudolfshöhe (Leopold Petter)","1"
"Westerweder Straße 12","364288","53,20177706 8,9298190066","Frankgasse 1","168934","48,21533 16,35736","Directed","Westerweder Straße 12–Frankgasse 1","3"
"Edmund-Weiß-Gasse 7","168940","48,2304 16,33472","Wien","50","48,208333 16,373056","Directed","Edmund-Weiß-Gasse 7–Wien","9"
"Wien","50","48,208333 16,373056","I., Innere Stadt","51","48,20769 16,37049","Directed","Wien–I., Innere Stadt","45"
"I., Innere Stadt","51","48,20769 16,37049","Tiefer Graben 23","207296","48,213038 16,368738","Directed","I., Innere Stadt–Tiefer Graben 23","85"
"Berlin","168","52,52437 13,41053","Wien","50","48,208333 16,373056","Directed","Berlin–Wien","211"
"Bad Fusch","305739","47,19939 12,85366","Wien","50","48,208333 16,373056","Directed","Bad Fusch–Wien","12"
"Vahrn","946","46,73901 11,63749","Kopenhagen","36300","55,67594 12,56553","Directed","Vahrn–Kopenhagen","1"
"Marienbad","772","49,964444 12,701944","Marienbad","772","49,964444 12,701944","Directed","Marienbad–Marienbad","2"
"Marienbad","772","49,964444 12,701944","Wien","50","48,208333 16,373056","Directed","Marienbad–Wien","4"
"Wien","50","48,208333 16,373056","Seis am Schlern","988","46,54133 11,55868","Directed","Wien–Seis am Schlern","3"
"Wien","50","48,208333 16,373056","Ottakringer Straße 114","237241","48,213619 16,323195","Directed","Wien–Ottakringer Straße 114","1"
"Antwerpen","995","51,2663 4,37077","Hasenauerstraße 59","235251","48,23365 16,33494","Directed","Antwerpen–Hasenauerstraße 59","1"
"9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Altona","1259","53,5725 9,8262","Directed","9/3 Post- und Telegraphenamt 72–Altona","1"
"Altona","1259","53,5725 9,8262","Palmaille 5","365128","53,545996 9,945167","Directed","Altona–Palmaille 5","1"
"Admont","49312","47,574904 14,460776","Admont","49312","47,574904 14,460776","Directed","Admont–Admont","2"
"Admont","49312","47,574904 14,460776","Altaussee","34401","47,639444 13,763333","Directed","Admont–Altaussee","1"
"Altaussee","34401","47,639444 13,763333","Altaussee","34401","47,639444 13,763333","Directed","Altaussee–Altaussee","19"
"Wien","50","48,208333 16,373056","Kopenhagen","36300","55,67594 12,56553","Directed","Wien–Kopenhagen","26"
"Bad Aussee","415","47,60998 13,78243","Wien","50","48,208333 16,373056","Directed","Bad Aussee–Wien","22"
"Berlin","168","52,52437 13,41053","Tiefer Graben 17","207301","48,212284 16,367725","Directed","Berlin–Tiefer Graben 17","5"
"Wien","50","48,208333 16,373056","Pötzleinsdorf","169","48,246838181084 16,300034240016","Directed","Wien–Pötzleinsdorf","1"
"Weimar","197","50,97361 11,33806","Edmund-Weiß-Gasse 7","168940","48,2304 16,33472","Directed","Weimar–Edmund-Weiß-Gasse 7","2"
"Wien","50","48,208333 16,373056","Hinterbrühl","75","48,08611 16,24809","Directed","Wien–Hinterbrühl","4"
"Meran","43520","46,66817 11,15953","Wien","50","48,208333 16,373056","Directed","Meran–Wien","13"
"Genua","994","44,40478 8,94439","Genua","994","44,40478 8,94439","Directed","Genua–Genua","5"
"Genua","994","44,40478 8,94439","Hasenauerstraße 59","235251","48,23365 16,33494","Directed","Genua–Hasenauerstraße 59","1"
"Tiefer Graben 23","207296","48,213038 16,368738","Frankgasse 1","168934","48,21533 16,35736","Directed","Tiefer Graben 23–Frankgasse 1","1"
"München","45258","48,13743 11,57549","Haus Bahr","207274","48,186771 16,261305","Directed","München–Haus Bahr","1"
"Wien","50","48,208333 16,373056","Berlin","168","52,52437 13,41053","Directed","Wien–Berlin","53"
"Frankgasse 1","168934","48,21533 16,35736","Tiefer Graben 23","207296","48,213038 16,368738","Directed","Frankgasse 1–Tiefer Graben 23","3"
"Venedig","462","45,43713 12,33265","XVIII., Währing","68","48,23333 16,31667","Directed","Venedig–XVIII., Währing","4"
"XVIII., Währing","68","48,23333 16,31667","Edmund-Weiß-Gasse 7","168940","48,2304 16,33472","Directed","XVIII., Währing–Edmund-Weiß-Gasse 7","42"
"Wien","50","48,208333 16,373056","Willergasse 2","231810","48,139276 16,257741","Directed","Wien–Willergasse 2","24"
"Rodaun","173","48,132793312328 16,256152195922","Sternwartestraße 71","168815","48,23188 16,33716","Directed","Rodaun–Sternwartestraße 71","13"
"Wien","50","48,208333 16,373056","XIII., Hietzing","63","48,17547 16,29101","Directed","Wien–XIII., Hietzing","2"
"XIII., Hietzing","63","48,17547 16,29101","Berlin","168","52,52437 13,41053","Directed","XIII., Hietzing–Berlin","1"
"Berlin","168","52,52437 13,41053","Hotel Savoy [Berlin]","545","52,521572 13,388194","Directed","Berlin–Hotel Savoy [Berlin]","1"
"Opatija","38096","45,33771 14,30515","XVIII., Währing","68","48,23333 16,31667","Directed","Opatija–XVIII., Währing","1"
"Frankgasse 1","168934","48,21533 16,35736","VIII., Josefstadt","58","48,21126 16,34706","Directed","Frankgasse 1–VIII., Josefstadt","6"
"VIII., Josefstadt","58","48,21126 16,34706","I., Innere Stadt","51","48,20769 16,37049","Directed","VIII., Josefstadt–I., Innere Stadt","6"
"Sternwartestraße 71","168815","48,23188 16,33716","I., Innere Stadt","51","48,20769 16,37049","Directed","Sternwartestraße 71–I., Innere Stadt","7"
"I., Innere Stadt","51","48,20769 16,37049","Antibes","88767","43,58579 7,10831","Directed","I., Innere Stadt–Antibes","1"
"Wien","50","48,208333 16,373056","Bad Aussee","415","47,60998 13,78243","Directed","Wien–Bad Aussee","8"
"Tianjin","118682","39,03839 117,17994","Tianjin","118682","39,03839 117,17994","Directed","Tianjin–Tianjin","1"
"Tianjin","118682","39,03839 117,17994","Yokohama","53977","35,43333 139,65","Directed","Tianjin–Yokohama","1"
"Yokohama","53977","35,43333 139,65","IX., Alsergrund","59","48,22387 16,35641","Directed","Yokohama–IX., Alsergrund","2"
"IX., Alsergrund","59","48,22387 16,35641","Frankgasse 1","168934","48,21533 16,35736","Directed","IX., Alsergrund–Frankgasse 1","68"
"Schönberg im Stubaital","759","47,18333 11,41667","Wien","50","48,208333 16,373056","Directed","Schönberg im Stubaital–Wien","3"
"Wien","50","48,208333 16,373056","Schloss Arenberg","160","47,80003 13,05858","Directed","Wien–Schloss Arenberg","2"
"Bad Ischl","213","47,71109 13,61893","Wien","50","48,208333 16,373056","Directed","Bad Ischl–Wien","38"
"Brighton","36448","50,82838 -0,13947","Wien","50","48,208333 16,373056","Directed","Brighton–Wien","1"
"Frankgasse 1","168934","48,21533 16,35736","IX., Alsergrund","59","48,22387 16,35641","Directed","Frankgasse 1–IX., Alsergrund","19"
"IX., Alsergrund","59","48,22387 16,35641","I., Innere Stadt","51","48,20769 16,37049","Directed","IX., Alsergrund–I., Innere Stadt","19"
"Wien","50","48,208333 16,373056","Villa Frühling","47674","nicht vorhanden","Directed","Wien–Villa Frühling","2"
"Edlach an der Rax","470","47,69255 15,80915","Rahlstedt","61082","53,60194 10,15667","Directed","Edlach an der Rax–Rahlstedt","1"
"Wien","50","48,208333 16,373056","Hasenauerstraße 59","235251","48,23365 16,33494","Directed","Wien–Hasenauerstraße 59","29"
"Frankgasse 1","168934","48,21533 16,35736","I., Innere Stadt","51","48,20769 16,37049","Directed","Frankgasse 1–I., Innere Stadt","48"
"I., Innere Stadt","51","48,20769 16,37049","Baden bei Wien","662","48,00543 16,23264","Directed","I., Innere Stadt–Baden bei Wien","2"
"Hôtel du Parc & Bristol","43055","50,08161 8,24473","Wiesbaden","883","50,08258 8,24932","Directed","Hôtel du Parc & Bristol–Wiesbaden","2"
"Wiesbaden","883","50,08258 8,24932","Sankt Michael","40832","46,455308 11,258736","Directed","Wiesbaden–Sankt Michael","2"
"Sankt Michael","40832","46,455308 11,258736","Sankt Michael","40832","46,455308 11,258736","Directed","Sankt Michael–Sankt Michael","4"
"Den Haag","974","52,07667 4,29861","Den Haag","974","52,07667 4,29861","Directed","Den Haag–Den Haag","1"
"Den Haag","974","52,07667 4,29861","Tiefer Graben 17","207301","48,212284 16,367725","Directed","Den Haag–Tiefer Graben 17","1"
"Neapel","595","40,85216 14,26811","Wien","50","48,208333 16,373056","Directed","Neapel–Wien","3"
"San Martino di Castrozza","44311","46,26667 11,8","San Martino di Castrozza","44311","46,26667 11,8","Directed","San Martino di Castrozza–San Martino di Castrozza","3"
"San Martino di Castrozza","44311","46,26667 11,8","Frankgasse 1","168934","48,21533 16,35736","Directed","San Martino di Castrozza–Frankgasse 1","1"
"Venedig","462","45,43713 12,33265","Wien","50","48,208333 16,373056","Directed","Venedig–Wien","7"
"Salesianergasse 12","192623","48,198484 16,380905","Unbekannt","365229","nicht vorhanden","Directed","Salesianergasse 12–Unbekannt","7"
"Unbekannt","365229","nicht vorhanden","9/2 Post- und Telegraphenamt 71","365211","48,218574 16,35084","Directed","Unbekannt–9/2 Post- und Telegraphenamt 71","2"
"9/2 Post- und Telegraphenamt 71","365211","48,218574 16,35084","Frankgasse 1","168934","48,21533 16,35736","Directed","9/2 Post- und Telegraphenamt 71–Frankgasse 1","8"
"St. Anton am Arlberg","212","47,1275 10,26372","Wien","50","48,208333 16,373056","Directed","St. Anton am Arlberg–Wien","3"
"Leukerbad","145560","46,37943 7,62687","IX., Alsergrund","59","48,22387 16,35641","Directed","Leukerbad–IX., Alsergrund","1"
"Hotel Savoy [Berlin]","545","52,521572 13,388194","Berlin","168","52,52437 13,41053","Directed","Hotel Savoy [Berlin]–Berlin","2"
"Berlin","168","52,52437 13,41053","Sankt Michael","40832","46,455308 11,258736","Directed","Berlin–Sankt Michael","1"
"Wien","50","48,208333 16,373056","18/1 Post- und Telegraphenamt 110","365223","48,22513 16,343276","Directed","Wien–18/1 Post- und Telegraphenamt 110","1"
"18/1 Post- und Telegraphenamt 110","365223","48,22513 16,343276","Wien","50","48,208333 16,373056","Directed","18/1 Post- und Telegraphenamt 110–Wien","2"
"Wien","50","48,208333 16,373056","Tiefer Graben 23","207296","48,213038 16,368738","Directed","Wien–Tiefer Graben 23","11"
"St. Moritz","44374","46,49937 9,84327","Edmund-Weiß-Gasse 7","168940","48,2304 16,33472","Directed","St. Moritz–Edmund-Weiß-Gasse 7","1"
"Berlin","168","52,52437 13,41053","Helsingør","726","56,03606 12,6136","Directed","Berlin–Helsingør","3"
"Helsingør","726","56,03606 12,6136","Marienlyst","959","56,042028 12,601917","Directed","Helsingør–Marienlyst","4"
"München","45258","48,13743 11,57549","IX., Alsergrund","59","48,22387 16,35641","Directed","München–IX., Alsergrund","3"
"Frankgasse 1","168934","48,21533 16,35736","1/1 Post- und Telegraphenamt 1","365214","48,210359 16,378357","Directed","Frankgasse 1–1/1 Post- und Telegraphenamt 1","7"
"1/1 Post- und Telegraphenamt 1","365214","48,210359 16,378357","Tiefer Graben 23","207296","48,213038 16,368738","Directed","1/1 Post- und Telegraphenamt 1–Tiefer Graben 23","34"
"Helsingør","726","56,03606 12,6136","Lueg","186","47,754041 13,372211","Directed","Helsingør–Lueg","1"
"Zistersdorf","44400","48,53585 16,75613","Wien","50","48,208333 16,373056","Directed","Zistersdorf–Wien","7"
"Wien","50","48,208333 16,373056","Grazer Straße [Bad Ischl]","1220","47,70918 13,62156","Directed","Wien–Grazer Straße [Bad Ischl]","4"
"Karersee","40371","46,409167 11,575","Edmund-Weiß-Gasse 7","168940","48,2304 16,33472","Directed","Karersee–Edmund-Weiß-Gasse 7","1"
"Bayreuth","734","49,94782 11,57893","Frankgasse 1","168934","48,21533 16,35736","Directed","Bayreuth–Frankgasse 1","1"
"Rom","445","41,89193 12,51133","Rom","445","41,89193 12,51133","Directed","Rom–Rom","7"
"Rom","445","41,89193 12,51133","I., Innere Stadt","51","48,20769 16,37049","Directed","Rom–I., Innere Stadt","3"
"Messina","1277","38,19394 15,55256","Messina","1277","38,19394 15,55256","Directed","Messina–Messina","1"
"Messina","1277","38,19394 15,55256","I., Innere Stadt","51","48,20769 16,37049","Directed","Messina–I., Innere Stadt","1"
"Athen","505","37,97945 23,71622","Edmund-Weiß-Gasse 7","168940","48,2304 16,33472","Directed","Athen–Edmund-Weiß-Gasse 7","1"
"Hotel Quirinale","769","41,90163 12,49484","Rom","445","41,89193 12,51133","Directed","Hotel Quirinale–Rom","1"
"Rom","445","41,89193 12,51133","9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Directed","Rom–9/3 Post- und Telegraphenamt 72","2"
"Wien","50","48,208333 16,373056","Neubeuern","33996","47,77368 12,14002","Directed","Wien–Neubeuern","1"
"Mürzzuschlag","40959","47,61131 15,67877","Tiefer Graben 23","207296","48,213038 16,368738","Directed","Mürzzuschlag–Tiefer Graben 23","1"
"Wien","50","48,208333 16,373056","Frankgasse 1","168934","48,21533 16,35736","Directed","Wien–Frankgasse 1","12"
"Graz","860","47,06667 15,43333","Tschortkiw","45274","49,01701 25,79808","Directed","Graz–Tschortkiw","1"
"Salesianergasse 12","192623","48,198484 16,380905","Frankgasse 1","168934","48,21533 16,35736","Directed","Salesianergasse 12–Frankgasse 1","2"
"St. Gilgen","33","47,76667 13,36667","Edmund-Weiß-Gasse 7","168940","48,2304 16,33472","Directed","St. Gilgen–Edmund-Weiß-Gasse 7","1"
"Wien","50","48,208333 16,373056","Meidlinger Hauptstraße","1239","48,178825 16,329918","Directed","Wien–Meidlinger Hauptstraße","45"
"Tiefer Graben 23","207296","48,213038 16,368738","Wien","50","48,208333 16,373056","Directed","Tiefer Graben 23–Wien","20"
"Unterach am Attersee","877","47,80494 13,48728","Wien","50","48,208333 16,373056","Directed","Unterach am Attersee–Wien","12"
"Edmund-Weiß-Gasse 7","168940","48,2304 16,33472","18/1 Post- und Telegraphenamt 111","365226","48,230794 16,344569","Directed","Edmund-Weiß-Gasse 7–18/1 Post- und Telegraphenamt 111","4"
"18/1 Post- und Telegraphenamt 111","365226","48,230794 16,344569","I., Innere Stadt","51","48,20769 16,37049","Directed","18/1 Post- und Telegraphenamt 111–I., Innere Stadt","4"
"Berghotel Franzenshöhe","41944","46,532148 10,478762","Stilfser Joch","41945","46,528333 10,453333","Directed","Berghotel Franzenshöhe–Stilfser Joch","1"
"Stilfser Joch","41945","46,528333 10,453333","9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Directed","Stilfser Joch–9/3 Post- und Telegraphenamt 72","1"
"Sternwartestraße 71","168815","48,23188 16,33716","18/1 Post- und Telegraphenamt 110","365223","48,22513 16,343276","Directed","Sternwartestraße 71–18/1 Post- und Telegraphenamt 110","16"
"18/1 Post- und Telegraphenamt 110","365223","48,22513 16,343276","Paschinger Schlössl","253003","47,8027 13,0478","Directed","18/1 Post- und Telegraphenamt 110–Paschinger Schlössl","10"
"Rodaun","173","48,132793312328 16,256152195922","XVIII., Währing","68","48,23333 16,31667","Directed","Rodaun–XVIII., Währing","12"
"Perchtoldsdorf","44699","48,11895 16,25736","IX., Alsergrund","59","48,22387 16,35641","Directed","Perchtoldsdorf–IX., Alsergrund","1"
"Wien","50","48,208333 16,373056","Wollzeile 15 (»Berthahof«)","190427","48,208656 16,375924","Directed","Wien–Wollzeile 15 (»Berthahof«)","19"
"Wollzeile 15 (»Berthahof«)","190427","48,208656 16,375924","I., Innere Stadt","51","48,20769 16,37049","Directed","Wollzeile 15 (»Berthahof«)–I., Innere Stadt","6"
"I., Innere Stadt","51","48,20769 16,37049","9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Directed","I., Innere Stadt–9/3 Post- und Telegraphenamt 72","4"
"Semmering","189","47,64224 15,8241","Wien","50","48,208333 16,373056","Directed","Semmering–Wien","12"
"Pichl am See","41102","47,81667 13,4","Pichl am See","41102","47,81667 13,4","Directed","Pichl am See–Pichl am See","1"
"Pichl am See","41102","47,81667 13,4","Edlach an der Rax","470","47,69255 15,80915","Directed","Pichl am See–Edlach an der Rax","1"
"Altaussee","34401","47,639444 13,763333","Grazer Straße [Bad Ischl]","1220","47,70918 13,62156","Directed","Altaussee–Grazer Straße [Bad Ischl]","4"
"Neubeuern","33996","47,77368 12,14002","Wien","50","48,208333 16,373056","Directed","Neubeuern–Wien","2"
"Lammgasse 3","195184","48,212354 16,35195098","VIII., Josefstadt","58","48,21126 16,34706","Directed","Lammgasse 3–VIII., Josefstadt","1"
"VIII., Josefstadt","58","48,21126 16,34706","Frankgasse 1","168934","48,21533 16,35736","Directed","VIII., Josefstadt–Frankgasse 1","1"
"Salesianergasse 12","192623","48,198484 16,380905","III., Landstraße","53","48,19811 16,39482","Directed","Salesianergasse 12–III., Landstraße","19"
"III., Landstraße","53","48,19811 16,39482","IX., Alsergrund","59","48,22387 16,35641","Directed","III., Landstraße–IX., Alsergrund","10"
"Wien","50","48,208333 16,373056","Bad Ischl","213","47,71109 13,61893","Directed","Wien–Bad Ischl","21"
"Orahovica","42960","45,54 17,88472","Orahovica","42960","45,54 17,88472","Directed","Orahovica–Orahovica","2"
"Orahovica","42960","45,54 17,88472","Seeboden am Millstättersee","34824","46,818888888889 13,518333","Directed","Orahovica–Seeboden am Millstättersee","1"
"Seeboden am Millstättersee","34824","46,818888888889 13,518333","Villa Platzer","40788","46,8105 13,515","Directed","Seeboden am Millstättersee–Villa Platzer","10"
"Harmannsdorf","49283","48,60055 15,74243","Wien","50","48,208333 16,373056","Directed","Harmannsdorf–Wien","2"
"Gasthaus Brunnthaler","40256","47,6417738 13,7682587","Altaussee","34401","47,639444 13,763333","Directed","Gasthaus Brunnthaler–Altaussee","2"
"Altaussee","34401","47,639444 13,763333","Bad Ischl","213","47,71109 13,61893","Directed","Altaussee–Bad Ischl","4"
"Bad Ischl","213","47,71109 13,61893","Hotel und Pension Rudolfshöhe (Leopold Petter)","414","47,706537 13,609575","Directed","Bad Ischl–Hotel und Pension Rudolfshöhe (Leopold Petter)","9"
"Wien","50","48,208333 16,373056","Wittelsbachstraße","1238","48,20635 16,39925","Directed","Wien–Wittelsbachstraße","1"
"Restaurant Stallmann","247","52,51449 13,38853","Berlin","168","52,52437 13,41053","Directed","Restaurant Stallmann–Berlin","1"
"Bad Ischl","213","47,71109 13,61893","Bad Ischl","213","47,71109 13,61893","Directed","Bad Ischl–Bad Ischl","22"
"Bad Ischl","213","47,71109 13,61893","Tiefer Graben 17","207301","48,212284 16,367725","Directed","Bad Ischl–Tiefer Graben 17","4"
"Wiesbaden","883","50,08258 8,24932","Venedig","462","45,43713 12,33265","Directed","Wiesbaden–Venedig","1"
"Wien","50","48,208333 16,373056","Paris","182","48,85341 2,3488","Directed","Wien–Paris","46"
"Frankgasse 1","168934","48,21533 16,35736","V., Margareten","55","48,18646 16,35491","Directed","Frankgasse 1–V., Margareten","1"
"V., Margareten","55","48,18646 16,35491","I., Innere Stadt","51","48,20769 16,37049","Directed","V., Margareten–I., Innere Stadt","1"
"I., Innere Stadt","51","48,20769 16,37049","I., Innere Stadt","51","48,20769 16,37049","Directed","I., Innere Stadt–I., Innere Stadt","30"
"Vrádište","34498","48,82361 17,19093","Wien","50","48,208333 16,373056","Directed","Vrádište–Wien","2"
"III., Landstraße","53","48,19811 16,39482","Kärntnerring 12/Bösendorferstraße 11","167805","48,20143 16,37196","Directed","III., Landstraße–Kärntnerring 12/Bösendorferstraße 11","2"
"Bad Ischl","213","47,71109 13,61893","Berlin","168","52,52437 13,41053","Directed","Bad Ischl–Berlin","1"
"I., Innere Stadt","51","48,20769 16,37049","Hôtel Beau-Séjour","294001","46,1881943314491 6,15002700866006","Directed","I., Innere Stadt–Hôtel Beau-Séjour","1"
"I., Innere Stadt","51","48,20769 16,37049","Rodaun","173","48,132793312328 16,256152195922","Directed","I., Innere Stadt–Rodaun","2"
"Rodaun","173","48,132793312328 16,256152195922","Willergasse 2","231810","48,139276 16,257741","Directed","Rodaun–Willergasse 2","10"
"Mahlerstraße 13","232296","48,202526 16,372966","I., Innere Stadt","51","48,20769 16,37049","Directed","Mahlerstraße 13–I., Innere Stadt","5"
"I., Innere Stadt","51","48,20769 16,37049","IX., Alsergrund","59","48,22387 16,35641","Directed","I., Innere Stadt–IX., Alsergrund","13"
"?? [Nördlich der Lofoten im Atlanik]","365086","68,937 14,183","Tromsø","42542","69,6489 18,95508","Directed","?? [Nördlich der Lofoten im Atlanik]–Tromsø","1"
"Tromsø","42542","69,6489 18,95508","Kopenhagen","36300","55,67594 12,56553","Directed","Tromsø–Kopenhagen","1"
"Kopenhagen","36300","55,67594 12,56553","Kopenhagen","36300","55,67594 12,56553","Directed","Kopenhagen–Kopenhagen","12"
"Wien","50","48,208333 16,373056","Edmund-Weiß-Gasse 7","168940","48,2304 16,33472","Directed","Wien–Edmund-Weiß-Gasse 7","27"
"Tłumacz","636","48,86403 25,00325","Wien","50","48,208333 16,373056","Directed","Tłumacz–Wien","1"
"Zürich","484","47,37174 8,54226","Wien","50","48,208333 16,373056","Directed","Zürich–Wien","5"
"München","45258","48,13743 11,57549","XVIII., Währing","68","48,23333 16,31667","Directed","München–XVIII., Währing","3"
"Rodaun","173","48,132793312328 16,256152195922","Rodaun","173","48,132793312328 16,256152195922","Directed","Rodaun–Rodaun","6"
"Rodaun","173","48,132793312328 16,256152195922","Reichenau an der Rax","483","47,7 15,83333","Directed","Rodaun–Reichenau an der Rax","1"
"Garda","38897","45,57889 10,71763","Wien","50","48,208333 16,373056","Directed","Garda–Wien","1"
"Wien","50","48,208333 16,373056","Edlach an der Rax","470","47,69255 15,80915","Directed","Wien–Edlach an der Rax","5"
"Baia","962","40,81667 14,06667","Wien","50","48,208333 16,373056","Directed","Baia–Wien","1"
"Semmering","189","47,64224 15,8241","Edmund-Weiß-Gasse 7","168940","48,2304 16,33472","Directed","Semmering–Edmund-Weiß-Gasse 7","6"
"Schmargendorf","61048","52,47517 13,29071","Wien","50","48,208333 16,373056","Directed","Schmargendorf–Wien","3"
"Salzburg","30","47,80067 13,04532","Edmund-Weiß-Gasse 7","168940","48,2304 16,33472","Directed","Salzburg–Edmund-Weiß-Gasse 7","3"
"Berlin","168","52,52437 13,41053","Charlottenburg","9925","52,516667 13,3","Directed","Berlin–Charlottenburg","4"
